fecha_evento,departamento,provincia,produccion_t,precio_chacra_kg,num_emergencias,total_afectados,hectareas_cultivo_perdidas,ALLSKY_SFC_SW_DWN,PRECTOTCORR,QV2M,RH2M,T2M,T2M_MAX,T2M_MIN,WS2M,lat,lon,month_sin,month_cos,nlp_sentiment,nlp_news_count,produccion_t_lag1,produccion_t_lag3,produccion_t_lag6,nlp_sentiment_lag1,nlp_sentiment_lag3,nlp_sentiment_lag6
2023-10,PIURA,SULLANA,4.633706695930603,0.9732387552390986,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,0.4994720108425624,-0.6695722840982757,0.2487048652687189,-1.0608463676217414,1.2540050064538455,1.5352726863505906,1.1210089869035225,2.6764538926719004,-4.89055555555555,-80.6877777777778,-0.8660254037844386,0.5000000000000001,-0.8020482904133969,-0.36186834252304906,3.829502051917503,2.851329777439149,3.206615387312088,-0.5410345562825939,0.3149691148415871,0.2700607482912979
2023-11,PIURA,SULLANA,4.807165350323883,-0.6685339902047134,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,1.0701747011425229,-0.6731098791341567,0.2016379841634831,-0.9647064703983887,1.1669542064307576,1.3965765334818727,0.844923353036177,2.711268108970457,-4.89055555555555,-80.6877777777778,-0.5000000000000004,0.8660254037844384,0.40626409501472577,-0.16520076506487022,4.624292060913704,2.693866142330589,2.7686048235235883,-0.8027774342267265,0.051254933163250575,-0.13698610708358294
2023-12,PIURA,SULLANA,4.632876750215803,-0.6857253278533396,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,0.4202993832864978,-0.5174556975553956,0.4591215102097731,-0.891336548833198,1.3044028380461592,1.6606005353283466,1.176744584350921,2.632936122298704,-4.89055555555555,-80.6877777777778,-2.4492935982947064e-16,1.0,1.6039669082781138,-0.5585359199812279,4.797324469122252,3.7683718803511796,2.7686048235235883,0.3713426965948749,-0.5311370175326967,0.17094907907892457
2024-01,PIURA,SULLANA,4.478506847262931,-0.7544906784478448,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,-0.6452322292388613,-0.6377339287753474,0.849499759376729,-0.829773281312981,1.5319566837205465,1.8494278277881653,1.353024613486879,2.6677503385972603,-4.89055555555555,-80.6877777777778,0.4999999999999999,0.8660254037844387,0.597236393979951,0.031466812393308646,4.623464154654333,4.551610687108785,2.776568651956106,1.5351534799263356,-0.7848578196948016,0.27748087325906917
2024-02,PIURA,SULLANA,4.633706695930603,-0.763086347272158,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,-0.4440018008671985,0.8480559862946452,1.298019449908976,-0.4477436897149203,1.61137144865389,1.9914660566296225,1.5124543457201345,1.7538771607601424,-4.89055555555555,-80.6877777777778,0.8660254037844386,0.5000000000000001,0.7086369017096656,0.8181371222260241,4.469473590411319,4.722128302329972,2.622866763208506,0.5569109514174109,0.3532770696538085,0.025726633281115522
2024-03,PIURA,SULLANA,3.681758961054564,-1.055339087298805,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,0.3147358798784138,-0.6766474741700377,0.7719778375563402,-1.1468662756636891,1.6632964872641527,1.9246245371748196,1.3283972564752378,1.8670233637304523,-4.89055555555555,-80.6877777777778,1.0,6.123233995736766e-17,-0.9747485484282455,-0.5585359199812279,4.624292060913704,4.550794813351746,3.6717029677711506,0.6651591000638902,1.481418579486187,-0.5302527303754601
2024-04,PIURA,SULLANA,7.5526257748835475,-1.046743418474492,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,0.1563906247662859,-0.6483467138829903,0.5809416730703832,-1.0642196973488771,1.4815588521282326,1.8377305618835744,1.293400485985011,2.00628022892468,-4.89055555555555,-80.6877777777778,0.8660254037844387,-0.4999999999999998,1.4271407055325347,0.42480196730966635,3.6746835814151173,4.399042294542459,4.436230497292896,-0.970590701705131,0.5331579009459791,-0.7724668096805649
2024-05,PIURA,SULLANA,9.29302193881995,-0.8576387043396027,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,0.3477244746934397,-0.6837226642417995,0.1462651828632054,-1.050726378440336,1.1684814134487065,1.5820617499689529,0.920101600755924,2.554604135626951,-4.89055555555555,-80.6877777777778,0.4999999999999999,-0.8660254037844387,1.0369442181406239,-0.36186834252304906,7.53603837512166,4.551610687108785,4.602674511532526,1.3633310217573205,0.6380883858664119,0.3140514891716561
2024-06,PIURA,SULLANA,8.155996309543426,-0.6685339902047134,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,0.1332986083957671,-0.6766474741700377,-0.0530769018177929,-0.8972398758556847,0.9470363958461144,1.236156886790346,0.8345539395575915,2.1629442022681857,-4.89055555555555,-80.6877777777778,1.2246467991473532e-16,-1.0,0.6119719108754159,0.8181371222260241,9.272157801022738,3.6158034877848535,4.435434114449644,0.9841761307310277,-0.9475278307090175,1.3910296273510283
2024-07,PIURA,SULLANA,6.535112328538279,-0.6685339902047134,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,0.5984377952876425,-0.6943354493494424,-0.183202984873445,-0.8457965975168731,0.8279142484460995,1.2478541526949365,0.7230827446627943,2.415347270432723,-4.89055555555555,-80.6877777777778,-0.4999999999999997,-0.8660254037844388,0.860118015395045,-0.9518710748975856,8.137926225684408,7.421038690615555,4.287306905604805,0.5712294895981621,1.3148622542156585,0.48577438128293393
2024-08,PIURA,SULLANA,6.7135506572203605,-0.2387505489890557,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,1.0008986520309668,-0.6943354493494424,-0.2690308268888752,-0.9621764731030374,0.809587764230713,1.3080115202042597,0.6608662637912802,2.5197899193283937,-4.89055555555555,-80.6877777777778,-0.8660254037844385,-0.5000000000000004,-2.0056453104349705,-1.3452062298139433,6.521025301132763,9.1319259591267,4.436230497292896,0.8123536725620129,0.9473279631186927,0.585946068347846
2024-09,PIURA,SULLANA,6.7135506572203605,-0.5997686396102081,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,0.9316226029194106,-0.6731098791341567,-0.2441130663037504,-0.9149498569231446,0.7897340729973769,1.2829459504087073,0.6492006736278713,2.545900581552312,-4.89055555555555,-80.6877777777778,-1.0,-1.8369701987210294e-16,0.14986610103363632,-0.5585359199812279,6.699025146897536,8.014178911983034,3.5227793760830597,-1.9723156328304872,0.5470375947185232,-0.9277594250774921
2024-10,PIURA,SULLANA,6.7135506572203605,-0.2387505489890557,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,1.7497397543320707,-0.6731098791341567,-0.1029124229880425,-1.1291562945962292,1.011179090599969,1.3598136977817312,0.8604774732540559,2.598121906000147,-4.89055555555555,-80.6877777777778,-0.8660254037844386,0.5000000000000001,-2.2979979656409943,0.42480196730966635,6.699025146897536,6.420777464485529,7.23710895700954,0.12220013224980335,0.7807716378481644,1.2320269494702154
2024-11,PIURA,SULLANA,6.574949722848697,-0.2387505489890557,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,1.4066583682557945,-0.6978730443853233,-0.1333674637031954,-0.9916931082154704,0.9516180168999616,1.3063404822178883,0.7036400943904463,2.2151655267160213,-4.89055555555555,-80.6877777777778,-0.5000000000000004,0.8660254037844384,-0.8539173098854334,-0.5585359199812279,6.699025146897536,6.596190322248951,8.907123779308604,-2.256395430336592,-1.9185512070361972,0.8811610402798884
2024-12,PIURA,SULLANA,6.556690917123088,-0.2387505489890557,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,0.5489549030651019,-0.6306587387035856,0.2542421453987465,-0.8694099056068195,1.159318171341013,1.3431033179180312,1.0549039759775387,2.632936122298704,-4.89055555555555,-80.6877777777778,-2.4492935982947064e-16,1.0,-1.7309752755035048,-0.16520076506487022,6.560764801582572,6.596190322248951,7.816079284053614,-0.853178688622971,0.11177039801154252,0.49902460443966834
2025-01,PIURA,SULLANA,0.3304381646906206,-0.995169405528613,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,0.3543221936564448,-0.605895573452419,0.4508155900147316,-0.8626632461525492,1.2998212169923122,1.6288508135873143,1.1326745770669315,2.276090405238496,-4.89055555555555,-80.6877777777778,0.4999999999999999,0.8660254037844387,-1.2918568720186503,0.8181371222260241,6.542550863876409,6.596190322248951,6.260743591182812,-1.7054180811412842,-2.193924331483471,0.7221583623990756
2025-02,PIURA,SULLANA,0.161959184586143,-0.7287036719749054,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,-0.6254390723498452,-0.1318578386443736,0.7858210378814098,-0.7892933245873583,1.4693411959846414,1.7341262067286298,1.3750596171288736,1.536288308894162,-4.89055555555555,-80.6877777777778,0.8660254037844386,0.5000000000000001,-1.128587344816899,0.6214695447678452,0.3315981060748476,6.459939404823409,6.431965902481951,-1.2787256433548975,-0.8337143417741566,-1.8547450371226306
2025-03,PIURA,SULLANA,0.932978753635698,-0.2387505489890557,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,0.3180347393599158,-0.1389330287161355,0.6999931958659796,-1.075183018962066,1.5808273082949114,1.8243622579926144,1.37765197049852,1.2055532540578715,-4.89055555555555,-80.6877777777778,1.0,6.123233995736766e-17,0.9532464821743832,1.6048074320587395,0.1635331354225259,6.4419901821685475,6.431965902481951,-1.1200762403121738,-1.6598337151159768,0.08349760624447752
2025-04,PIURA,SULLANA,1.2516779081190448,-0.1699851983945504,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,0.5687480599541186,-0.6235835486318236,0.4231291893645925,-1.1156629756876888,1.405198501230787,1.7792442323606226,1.176744584350921,1.8060984852079784,-4.89055555555555,-80.6877777777778,0.8660254037844387,-0.4999999999999998,0.0013320907273500309,-0.36186834252304906,0.9326580503782245,0.32130525686067457,6.431965902481951,0.9028468338643607,-1.2462188406941648,-2.117629464552241
2025-05,PIURA,SULLANA,1.2101806223790257,-0.6083643084345212,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,0.1069077325437452,-0.6801850692059186,0.2819285460488852,-0.9115765271960092,1.2005527608256334,1.4584049389775666,1.0432383858141296,2.1629442022681857,-4.89055555555555,-80.6877777777778,0.4999999999999999,-0.8660254037844387,1.0864555549093862,-0.36186834252304906,1.2505740539767047,0.15568288418172252,6.298969967658898,-0.0221307326121691,-1.092431833694377,-0.81910759519227
2025-06,PIURA,SULLANA,1.1537443137725998,-0.5481946266643293,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,-1.1862451842052977,0.8232928210434788,0.2819285460488852,-0.2832938655170794,0.8966385642538008,1.2428410387358262,0.7891877555887787,2.145537094118908,-4.89055555555555,-80.6877777777778,1.2246467991473532e-16,-1.0,0.6844706540011032,0.8181371222260241,1.2091787410081527,0.9136296044711139,6.281449545107358,1.032286419018352,0.8684913024906427,-1.6077608774811014
2025-07,PIURA,SULLANA,4.470207390114927,-0.3848769190023792,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,0.4038050858789855,-0.7014106394212042,0.0078331796125119,-0.5548469085514623,0.8416591116076397,1.4717732428685268,0.7891877555887787,2.232572634865299,-4.89055555555555,-80.6877777777778,-0.4999999999999997,-0.8660254037844388,0.1675487213081942,-0.36186834252304906,1.152881115370922,1.2269251271741561,0.30698545503221814,0.6416766974474581,-0.028136915215701244,-1.2129042274104163
2025-08,PIURA,SULLANA,2.992904017770247,0.4832856322532488,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,0.6281275306211663,-0.7014106394212042,-0.1472106640282645,-0.8188099596997914,0.8401319045896911,1.3848792675772834,0.7127133311842088,2.589418351925508,-4.89055555555555,-80.6877777777778,-0.8660254037844385,-0.5000000000000004,0.6349593172323411,0.8181371222260241,4.461194527817608,1.1861314393221973,0.1453197378520991,0.13938237806670487,0.9939637341944407,-1.0660917548337991
2021-07,MADRE DE DIOS,TAHUAMANU,-0.2083625933577875,0.0191195157403388,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,0.1530917652847827,-0.1743089790749449,0.3206895069590795,-0.5784602166414088,0.9943798134025306,1.496838812664078,-0.0468462061221973,-1.3532916438860592,-10.945,-69.5766666666667,-0.4999999999999997,-0.8660254037844388,0.04259153803465178,-1.9352089621884798,-0.20869351879069478,-0.21105236960738555,-0.21536205185664936,1.7648228323455852,-0.6505023839765752,0.46828408671604455
2021-08,MADRE DE DIOS,TAHUAMANU,-0.2111844087881088,-0.0066674907326006,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,0.3873107884714719,-0.6660346890623948,0.1407279027331778,-1.815628894068241,1.5808273082949114,1.909585195297488,0.572726249223301,-1.3619951979606986,-10.945,-69.5766666666667,-0.8660254037844385,-0.5000000000000004,1.8326621304957291,-1.541873807272122,-0.20587863750883326,-0.21056284535316205,-0.21153941420904057,0.01796117429393436,1.7284771286374705,-0.01296401833654893
2021-09,MADRE DE DIOS,TAHUAMANU,-0.2110184196451487,0.8185167164014618,0.6658552933471521,0.4286118011838774,-0.0139409828853855,0.4928742918795572,-0.0504931528191121,0.7885896779464235,-1.130842959459797,1.637333967959021,1.988123980656883,0.9058436572228682,-1.388105860184616,-10.945,-69.5766666666667,-1.0,-1.8369701987210294e-16,0.14338247359963177,-0.7552034974394067,-0.20869351879069478,-0.2111339569830894,-0.21225615876796727,1.7573771924915949,1.704048867597793,2.3863863908849163
2021-10,MADRE DE DIOS,TAHUAMANU,-0.2114333925025489,1.7640402870759084,0.3606456640299355,-0.0446550535578303,-0.0139409828853855,0.5357594651390915,0.7666913004693838,1.0959087251629631,-0.7218267300446548,1.593044964438503,2.026557854343394,0.6504968503126942,-1.379402306109977,-10.945,-69.5766666666667,-0.8660254037844386,0.5000000000000001,0.06557894439157703,-0.7552034974394067,-0.20852793753882057,-0.20835998620915624,-0.2126543501895932,0.11589997545027282,0.010726227347422027,-0.6442046495233759
2021-11,MADRE DE DIOS,TAHUAMANU,-0.2032169299260251,1.566339904116706,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,-0.35823145434813,2.1074398190682584,1.6773231388158765,0.8400249336189394,1.1776446555564,1.4934967366913383,1.15211722733928,-1.379402306109977,-10.945,-69.5766666666667,-0.5000000000000004,0.8660254037844384,0.24712051254370476,0.8181371222260241,-0.2089418906685061,-0.2111339569830894,-0.2121765204836421,0.04029809385590629,1.6968314268360702,1.6268835995409006
2021-12,MADRE DE DIOS,TAHUAMANU,-0.2112674033595888,0.148054548105036,-0.2497735946044977,-0.090349784360478,-0.0139409828853855,-0.2922542647180758,3.8125606263628686,1.9901794661624437,1.658900724881008,1.0004886414743266,0.6446094396153363,1.271365482343016,-1.3706987520353378,-10.945,-69.5766666666667,-2.4492935982947064e-16,1.0,0.5483144778870075,-0.36186834252304906,-0.20074561870073276,-0.21097078223168156,-0.21273398847391833,0.2167024842427615,0.10566333275162315,1.603563206785048
2022-01,MADRE DE DIOS,TAHUAMANU,-0.2110184196451487,0.1910328922266018,0.0554360347127189,-0.090349784360478,-0.0139409828853855,0.2553564092113648,1.2761049856362383,1.8905084238219445,1.5804708087251145,0.9791077432230416,0.4758346029919577,1.194891057938446,-1.3532916438860592,-10.945,-69.5766666666667,0.4999999999999999,0.8660254037844387,1.2444202960287698,-0.5585359199812279,-0.20877630941663186,-0.21137871911020115,-0.21002628680686217,0.5093734046573167,0.0323785496325907,-0.01296401833654893
