departamento,provincia,total_emergencias,personas_afectadas,personas_damnificadas,personas_fallecidas,cultivo_ha_afectadas,cultivo_ha_perdidas,viviendas_afectadas,viviendas_destruidas,emergencias_hidromet,peligro_bajas_temperaturas,peligro_erosion,peligro_huayco,peligro_inundacion,peligro_lluvia_intensa,peligro_marejada,peligro_sequia,peligro_tormenta_electrica,peligro_vientos_fuertes,magnitud_impacto
PUNO,HUANCANE,406.0,158562.0,8240.0,7.0,30831.84,13590.130000000001,5224.0,1004.0,325,146,0,0,57,41,0,16,2,63,619.46
PUNO,LAMPA,632.0,233666.0,8938.0,7.0,31498.975000000002,17483.140000000003,11017.0,1614.0,407,179,3,1,69,38,0,20,10,87,815.5
PUNO,MELGAR,555.0,244467.0,8607.0,16.0,169231.486,31707.789999999994,9271.0,1075.0,416,208,0,1,70,81,0,14,10,32,977.54
PUNO,MOHO,238.0,45131.0,2677.0,6.0,4864.55,767.85,2250.0,397.0,140,63,2,0,30,19,0,2,3,21,192.81
PUNO,SAN ANTONIO DE PUTINA,314.0,130319.0,5867.0,17.0,11201.689999999999,10540.92,3347.0,648.0,221,109,0,2,28,22,0,5,4,51,456.73
PUNO,SAN ROMAN,243.0,95546.0,2800.0,10.0,31837.620000000003,5840.502,2569.0,231.0,193,100,2,0,32,18,0,7,2,32,346.95
PUNO,SANDIA,455.0,127457.0,9597.0,12.0,11410.904999999997,631.1650000000001,4914.0,1602.0,306,83,8,13,38,123,0,12,1,28,439.77
PUNO,YUNGUYO,144.0,38021.0,5315.0,12.0,9152.41,21.54,2499.0,488.0,138,47,0,0,23,22,0,7,0,39,176.24
SAN MARTIN,BELLAVISTA,407.0,50557.0,7857.0,0.0,6708.79,8485.05,9377.0,1649.0,219,0,2,0,81,29,0,9,1,97,354.41
SAN MARTIN,EL DORADO,456.0,19805.0,6208.0,5.0,3570.5,1559.0,3939.0,1256.0,230,0,2,3,38,35,0,4,0,148,265.4
SAN MARTIN,HUALLAGA,254.0,6596.0,2543.0,0.0,6124.25,1345.15,1114.0,568.0,110,0,0,1,28,21,0,4,0,56,130.05
SAN MARTIN,LAMAS,981.0,20254.0,13602.0,14.0,11222.400000000001,322.74,3285.0,3221.0,433,0,1,2,72,66,0,1,2,289,456.48
SAN MARTIN,MARISCAL CACERES,348.0,30649.0,6423.0,6.0,1811.6499999999999,1309.4,6169.0,1146.0,163,0,0,0,73,15,0,2,1,72,206.74
SAN MARTIN,MOYOBAMBA,477.0,37512.0,5692.0,13.0,22141.6,988.0,8106.0,1190.0,214,1,3,5,66,37,0,0,1,101,261.39
SAN MARTIN,PICOTA,673.0,52503.0,10244.0,14.0,7881.5,4629.5599999999995,11900.0,2170.0,384,0,2,0,127,72,0,10,0,173,482.8
SAN MARTIN,RIOJA,395.0,32830.0,4324.0,13.0,18193.5,1214.2,5875.0,876.0,224,0,0,7,68,38,0,0,0,111,268.97
SAN MARTIN,TOCACHE,496.0,23616.0,6715.0,11.0,7782.3,2529.75,5429.0,1470.0,272,0,1,2,86,35,0,1,0,147,320.91
TACNA,CANDARAVE,221.0,118120.0,4601.0,1.0,23094.63699999999,9019.73,11831.0,484.0,210,113,0,2,1,61,0,19,0,14,418.32
TACNA,JORGE BASADRE,127.0,28876.0,1781.0,2.0,2546.304,708.741,4585.0,548.0,90,16,2,12,17,23,0,9,0,11,125.96
TACNA,TARATA,294.0,77563.0,1016.0,1.0,6841.146000000001,2030.2309999999998,9775.0,361.0,254,117,3,13,2,73,0,26,4,16,351.87
TUMBES,CONTRALMIRANTE VILLAR,389.0,55369.0,6187.0,2.0,901.0,60.257000000000005,10369.0,63.0,319,3,0,0,2,144,10,6,0,154,374.97
TUMBES,ZARUMILLA,445.0,90423.0,7269.0,9.0,5221.1,1506.1,16805.0,650.0,330,0,5,0,11,216,0,4,1,93,435.48
UCAYALI,ATALAYA,651.0,20697.0,6713.0,27.0,1873.8,630.87,5230.0,1144.0,255,3,10,0,83,16,0,0,1,142,282.01
UCAYALI,CORONEL PORTILLO,1840.0,124881.0,20740.0,69.0,16172.32,27000.36,23960.0,3537.0,712,5,31,0,228,89,0,0,6,353,1106.88
UCAYALI,ELABORACION :  SUB DIRECCION DE APLICACIONES ESTADISTICAS - DIPPE - INDECI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
UCAYALI,FUENTE : SINPAD - COEN - INDECI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
UCAYALI,PADRE ABAD,1216.0,35437.0,17091.0,13.0,10498.5,12937.425000000005,8625.0,3701.0,531,1,3,3,83,83,0,1,9,348,695.81
UCAYALI,PURUS,286.0,3741.0,1727.0,1.0,16.0,283.25,318.0,321.0,161,0,12,0,30,2,0,0,15,102,167.57
