DEPARTAMENTO,PROVINCIA,ANIO,MES,ALLSKY_SFC_SW_DWN,PRECTOTCORR,QV2M,RH2M,T2M,T2M_MAX,T2M_MIN,WS2M
AMAZONAS,LUYA,2025,4,14.47,1.29,11.98,77.4,17.79,27.13,12.04,1.71
AMAZONAS,LUYA,2025,5,13.88,0.6,11.15,73.19,17.86,27.69,10.41,2.11
AMAZONAS,LUYA,2025,6,13.42,1.42,10.74,74.86,16.86,26.81,7.98,2.07
AMAZONAS,LUYA,2025,7,15.27,0.09,9.4,67.78,16.77,27.59,6.16,2.64
AMAZONAS,LUYA,2025,8,15.08,0.09,10.23,66.95,18.15,29.07,9.22,2.45
AMAZONAS,LUYA,2025,9,13.18,0.32,10.65,68.21,18.38,28.83,9.84,2.44
AMAZONAS,LUYA,2025,10,15.61,3.7,11.74,77.02,17.56,28.18,10.95,1.81
AMAZONAS,LUYA,2025,11,15.98,4.65,12.55,82.41,17.23,25.38,11.21,1.54
AMAZONAS,LUYA,2025,12,15.98,0.38,10.55,69.34,17.78,27.49,8.89,1.86
AMAZONAS,UTCUBAMBA,2021,1,14.94,0.93,11.56,77.64,17.06,25.96,11.11,1.9
AMAZONAS,UTCUBAMBA,2021,2,14.92,1.16,11.68,73.92,18.22,28.36,12.06,1.96
AMAZONAS,UTCUBAMBA,2021,3,14.31,2.0,11.52,79.43,16.64,25.98,10.41,1.71
AMAZONAS,UTCUBAMBA,2021,4,14.97,0.69,11.75,77.32,17.56,26.93,11.39,1.8
AMAZONAS,UTCUBAMBA,2021,5,13.93,0.19,10.76,71.08,17.78,28.12,9.57,2.02
AMAZONAS,UTCUBAMBA,2021,6,13.07,1.07,10.45,73.4,16.73,27.57,9.15,1.89
AMAZONAS,UTCUBAMBA,2021,7,13.92,0.18,9.46,68.88,16.55,26.77,7.25,2.46
AMAZONAS,UTCUBAMBA,2021,8,15.29,0.26,9.9,66.19,17.92,29.87,8.28,2.36
AMAZONAS,UTCUBAMBA,2021,9,17.03,0.66,10.45,68.79,17.9,28.93,9.74,2.24
AMAZONAS,UTCUBAMBA,2021,10,17.01,0.94,11.65,72.46,18.58,29.99,12.42,1.87
AMAZONAS,UTCUBAMBA,2021,11,16.64,0.81,11.28,72.75,17.84,26.35,11.36,1.73
AMAZONAS,UTCUBAMBA,2021,12,16.09,1.1,11.86,75.05,18.14,29.7,10.91,1.97
AMAZONAS,UTCUBAMBA,2022,1,16.94,0.67,10.62,68.62,18.05,28.92,9.08,2.07
AMAZONAS,UTCUBAMBA,2022,2,13.06,2.17,11.56,76.93,17.31,28.69,10.7,1.88
AMAZONAS,UTCUBAMBA,2022,3,15.76,1.96,11.69,79.94,16.69,24.54,10.14,1.7
AMAZONAS,UTCUBAMBA,2022,4,13.76,1.52,11.79,79.84,16.91,26.32,10.98,1.69
AMAZONAS,UTCUBAMBA,2022,5,13.27,0.71,11.23,75.62,17.32,27.13,10.36,1.88
AMAZONAS,UTCUBAMBA,2022,6,14.74,0.56,10.03,72.57,16.34,27.23,7.45,1.82
AMAZONAS,UTCUBAMBA,2022,7,13.94,0.23,10.23,70.7,17.19,27.75,8.13,2.19
AMAZONAS,UTCUBAMBA,2022,8,15.65,0.23,9.6,65.36,17.61,28.01,7.22,2.48
AMAZONAS,UTCUBAMBA,2022,9,17.77,0.81,10.22,65.71,18.45,29.29,9.35,2.07
AMAZONAS,UTCUBAMBA,2022,10,18.69,0.5,10.58,67.53,18.45,30.05,9.2,1.87
