fecha_evento,departamento,provincia,produccion_t,precio_chacra_kg
2021-03,PIURA,MORROPON,1266.0,0.84
2021-03,PIURA,PAITA,8.0,0.8
2021-03,PIURA,PIURA,9920.0,0.83
2021-03,PIURA,SECHURA,5.0,0.8
2021-03,PIURA,SULLANA,5151.0,1.0
2021-03,SAN MARTIN,BELLAVISTA,22.0,1.12
2021-03,SAN MARTIN,EL DORADO,15.0,0.92
2021-03,SAN MARTIN,HUALLAGA,79.0,0.98
2021-03,SAN MARTIN,LAMAS,85.0,1.05
2021-03,SAN MARTIN,MARISCAL CACERES,25.5,1.24
2021-03,SAN MARTIN,MOYOBAMBA,47.0,0.9
2021-03,SAN MARTIN,PICOTA,182.0,1.25
2021-03,SAN MARTIN,RIOJA,30.0,0.5
2021-03,SAN MARTIN,SAN MARTIN,143.0,1.35
2021-03,SAN MARTIN,TOCACHE,32.0,0.67
2021-03,TUMBES,CONTRALMIRANTE VILLAR,160.91,0.75
2021-03,TUMBES,TUMBES,980.54,0.95
2021-03,TUMBES,ZARUMILLA,6702.780000000001,1.08
2021-03,UCAYALI,ATALAYA,155.65,0.6
2021-03,UCAYALI,CORONEL PORTILLO,1054.72,0.6
2021-03,UCAYALI,PADRE ABAD,515.71,0.61
2021-03,UCAYALI,PURUS,31.7,0.72
2021-04,AMAZONAS,BAGUA,32.7,1.25
2021-04,AMAZONAS,CHACHAPOYAS,24.04,1.65
2021-04,AMAZONAS,LUYA,23.45,1.39
2021-04,AMAZONAS,UTCUBAMBA,559.6,1.04
2021-04,ANCASH,CARHUAZ,4.0,2.5
2021-04,ANCASH,CASMA,46.0,1.92
2021-04,ANCASH,HUARMEY,8.0,1.82
2021-04,ANCASH,HUAYLAS,20.0,1.9
2021-04,ANCASH,SANTA,20.0,1.65
2021-04,ANCASH,YUNGAY,8.0,1.7
2021-04,APURIMAC,ABANCAY,8.0,0.65
2021-04,APURIMAC,ANDAHUAYLAS,16.0,1.62
2021-04,APURIMAC,AYMARAES,1.9,0.8
2021-04,APURIMAC,CHINCHEROS,10.440000000000001,2.4
2021-04,AYACUCHO,HUAMANGA,5.0,1.84
2021-04,AYACUCHO,HUANTA,21.0,1.96
2021-04,AYACUCHO,LA MAR,24.0,2.13
2021-04,AYACUCHO,LUCANAS,14.0,1.82
2021-04,AYACUCHO,PARINACOCHAS,2.0,1.4
2021-04,AYACUCHO,SUCRE,10.0,2.14
2021-04,AYACUCHO,VILCAS HUAMAN,14.0,1.54
