fecha_evento,departamento,provincia,produccion_t,cosecha_ha,precio_chacra_kg
2021-03,AMAZONAS,LUYA,23.6,0.0,1.3833333333333335
2021-03,AMAZONAS,UTCUBAMBA,95.8,0.0,1.0125
2021-03,ANCASH,CARHUAZ,5.0,0.0,2.5
2021-03,ANCASH,CASMA,49.0,0.0,1.925
2021-03,ANCASH,HUARMEY,8.0,0.0,1.8
2021-03,ANCASH,HUAYLAS,21.0,0.0,1.85
2021-03,ANCASH,SANTA,20.0,0.0,1.6800000000000002
2021-03,ANCASH,YUNGAY,8.0,0.0,1.75
2021-03,APURIMAC,ABANCAY,26.0,0.0,0.9666666666666668
2021-03,APURIMAC,ANDAHUAYLAS,32.1,0.0,1.657142857142857
2021-03,APURIMAC,AYMARAES,5.6,0.0,0.7999999999999999
2021-03,APURIMAC,CHINCHEROS,22.7,0.0,1.97
2021-03,APURIMAC,GRAU,2.0,0.0,1.2
2021-03,AREQUIPA,LA UNION,31.0,0.0,2.2222222222222223
2021-03,AYACUCHO,HUAMANGA,6.0,0.0,1.93
2021-03,AYACUCHO,HUANTA,14.0,0.0,1.8800000000000001
2021-03,AYACUCHO,LA MAR,14.0,0.0,1.4333333333333333
2021-03,AYACUCHO,LUCANAS,2.0,0.0,1.8
2021-03,AYACUCHO,SUCRE,6.0,0.0,2.075
2021-03,AYACUCHO,VILCAS HUAMAN,11.0,0.0,1.72
2021-03,CAJAMARCA,CAJABAMBA,5.199999999999999,0.0,1.275
2021-03,CAJAMARCA,CHOTA,32.0,0.0,0.975
2021-03,CAJAMARCA,JAEN,30.91,0.0,0.8211111111111111
2021-03,CAJAMARCA,SAN IGNACIO,11.969999999999999,0.0,0.9133333333333334
2021-03,CAJAMARCA,SANTA CRUZ,5.0,0.0,1.2
2021-03,CUSCO,LA CONVENCION,14.0,0.0,0.95
2021-03,HUANCAVELICA,ACOBAMBA,1.7000000000000002,0.0,0.9
2021-03,HUANCAVELICA,ANGARAES,0.75,0.0,0.89
2021-03,HUANCAVELICA,CHURCAMPA,2.0,0.0,1.2
2021-03,HUANUCO,HUAMALIES,12.0,0.0,1.1
2021-03,HUANUCO,HUANUCO,3.5,0.0,1.0
2021-03,HUANUCO,LEONCIO PRADO,78.8,0.0,1.0550000000000002
2021-03,HUANUCO,MARAÑON,6.2,0.0,0.9233333333333333
2021-03,HUANUCO,PUERTO INCA,1.5,0.0,2.0
2021-03,ICA,PISCO,5.0,0.0,1.5
2021-03,JUNIN,CHANCHAMAYO,99.87,0.0,0.7444444444444445
2021-03,JUNIN,HUANCAYO,10.2,0.0,0.85
