año,mes,produccion_t_sutil,precio_chacra_kg_sutil,n_provincias_sutil,T2M,T2M_MAX,WS2M,PRECTOTCORR,RH2M,num_emergencias,personas_afectadas,personas_damnificadas,total_afectados,hectareas_cultivo_perdidas,hectareas_cultivo_afectadas,avg_sentiment,n_noticias
2021,4,32291.676,0.886234,90,24.9594,33.7762,2.8106,1.0425,67.2325,3.1707,148.483,2.0313,150.5144,10.781,20.7288,0.136,19
2021,5,29436.556,0.818905,93,23.8234,32.6695,2.8876,0.5379,67.5296,1.1637,23.8165,1.1422,24.9587,0.4827,5.7944,0.0378,23
2021,6,23089.077,0.959011,92,23.143,31.5488,2.8024,0.6798,68.1959,0.526,42.0124,0.4767,42.4891,2.6531,0.4252,0.2552,23
2021,7,22952.692,1.09586,88,23.1776,34.1838,3.2061,0.1993,65.2285,0.6715,15.0132,0.8205,15.8336,0.0855,0.7477,0.2466,11
2021,8,22838.582,1.047198,77,23.2138,34.1901,3.5883,0.2528,63.8334,0.7041,19.4405,0.2391,19.6796,0.0599,0.0747,0.2062,19
2021,9,23106.276,1.349473,70,23.1878,33.8156,3.8951,0.2917,62.2621,2.4724,17.1834,7.685,24.8684,1.0261,1.1897,0.0838,21
2021,10,27096.294,1.190732,66,23.5279,33.3935,3.9537,0.6066,62.8736,1.9203,11.4564,5.5513,17.0076,0.1835,0.3086,0.1508,11
2021,11,27012.657,1.206462,66,23.2235,32.5067,3.4992,0.8052,65.6071,2.3171,9.6306,4.4877,14.1183,0.0125,0.5525,0.104,14
2021,12,29093.796,1.031999,64,23.7952,32.6484,3.3233,0.9529,68.6244,1.3766,6.6991,5.0087,11.7078,1.7122,2.1651,0.2177,16
2022,1,39496.045,1.095152,76,25.2051,34.3039,3.4003,0.6004,65.7953,3.248,66.0787,9.7551,75.8338,9.2447,5.0001,0.1485,18
2022,2,41867.719,1.011694,76,25.4688,34.4246,3.1626,0.9683,64.1618,2.3108,68.9523,1.6178,70.5701,2.6215,13.9813,0.1212,17
2022,3,41704.528,1.072537,90,25.9708,34.8109,2.6849,1.4098,64.7049,7.0906,210.1599,47.6356,257.7955,11.0483,5.6328,0.0169,26
2022,4,36706.031,1.124351,92,24.8047,34.0455,3.3101,0.9877,65.7547,2.9803,72.842,7.3192,80.1612,9.046,4.576,0.1029,11
2022,5,35495.464,0.991134,92,23.6836,32.6806,3.2086,0.5756,65.9558,1.7661,22.3999,3.6369,26.0368,3.9224,1.0417,0.0422,24
2022,6,26355.126,1.039799,91,22.272,32.1234,3.0791,0.605,66.7576,1.871,37.6932,4.5226,42.2158,14.457,77.342,0.0514,18
2022,7,23436.447,1.197001,89,22.4553,32.5652,3.345,0.475,65.2894,0.6033,7.9315,0.2402,8.1718,0.1379,0.2767,0.15,16
2022,8,22935.999,1.480193,78,22.5869,32.9325,3.7897,0.4101,63.2776,0.8534,12.7659,5.5313,18.2972,1.2334,1.7378,0.0539,16
2022,9,23892.23,1.792062,68,23.0056,33.2552,3.9057,0.1927,61.5618,0.6754,5.6509,2.4901,8.141,1.6449,3.0743,0.193,23
2022,10,20729.512,2.901305,63,22.946,33.0204,3.6881,0.427,60.73,0.8427,5.5042,0.5829,6.0871,0.0939,0.2839,-0.0394,18
2022,11,24026.967,2.348948,64,23.5016,32.7098,3.418,0.387,62.564,2.6984,23.1029,10.0235,33.1264,3.1471,4.3203,0.1874,21
2022,12,30051.027,2.06385,65,24.6668,33.5559,3.5904,0.4824,65.4287,1.9988,11.315,10.2446,21.5596,3.5048,0.2303,-0.2075,20
2023,1,31563.267,1.420764,71,25.1446,34.3034,2.9117,1.0336,64.9486,4.0867,45.0992,8.5569,53.6561,13.398,8.3249,0.0819,27
2023,2,36552.314,1.534725,76,26.5485,35.0404,2.8547,1.1404,66.3184,8.6289,4574.2221,216.1957,4790.4178,24.1198,27.3603,0.085,33
2023,3,30900.933,1.55249,85,25.9543,35.1848,2.215,4.5394,73.496,19.8475,24830.2227,3984.6525,28814.8753,959.91,538.2776,-0.0202,41
2023,4,25524.136,1.137538,89,25.0511,32.1797,1.7273,5.4635,80.0688,10.2876,23780.8973,2257.1598,26038.0571,1960.4916,1719.624,0.1596,28
2023,5,22049.585,1.229499,92,25.3836,33.4321,2.5181,0.8518,73.6104,2.0608,191.6901,233.5765,425.2666,5.9986,11.4843,0.0875,27
2023,6,19365.541,1.470719,91,24.7897,33.2152,2.5058,0.4284,69.3578,0.9556,46.2799,1.4024,47.6822,2.1724,7.0456,0.0473,21
2023,7,15716.459,2.116019,88,24.824,34.8362,2.8659,0.4478,67.1818,1.0139,28.5988,4.0956,32.6944,2.6817,5.5508,-0.0548,27
2023,8,9388.396,4.456282,76,25.3078,34.3652,2.7838,0.2393,64.4251,1.1334,13.4604,3.34,16.8004,1.3562,4.7353,-0.0313,32
2023,9,13778.474,7.209685,67,25.3566,34.0393,3.3861,0.3118,64.0402,2.6811,21.3038,5.9076,27.2114,3.609,10.4955,-0.1336,29
2023,10,17002.337,2.609586,60,25.7783,34.6918,3.6305,0.4062,63.2139,2.2997,53.5637,9.3275,62.8912,0.3404,1.0141,0.1047,19
2023,11,24158.06,1.123938,64,25.3304,34.091,3.7411,0.5358,64.2617,1.3477,42.6113,6.2701,48.8814,11.266,20.4934,-0.0729,26
2023,12,30799.027,0.98585,64,25.9486,35.1113,3.7909,1.2329,66.3437,1.8677,24.1522,18.492,42.6442,0.717,6.4308,-0.0558,28
2024,1,36531.883,1.032721,73,26.8639,35.6952,3.6835,0.7896,68.3142,0.7843,26.3165,2.8178,29.1344,1.9912,5.3534,-0.2176,42
2024,2,43992.447,0.870948,77,27.2242,36.364,3.0456,4.1964,72.2658,8.2405,1528.3052,39.2097,1567.5149,36.9259,61.4524,-0.0091,35
2024,3,44161.843,0.971507,87,27.2845,35.917,2.9798,0.601,66.1466,3.7795,239.0854,20.9966,260.082,12.3416,19.9767,0.1739,30
2024,4,43176.231,0.951362,90,26.3717,35.2144,3.0615,0.6429,66.5643,3.579,79.596,43.151,122.747,1.3837,1.6208,0.1449,33
2024,5,39200.488,1.028712,94,25.1236,34.5349,3.5862,0.533,64.4574,2.3014,44.8079,5.3182,50.1261,0.0156,0.0154,0.1368,36
2024,6,30460.085,1.135323,93,23.8824,33.2,3.1962,0.3434,64.3275,0.602,18.5823,1.4925,20.0747,0.7599,1.4509,0.1853,30
2024,7,24936.369,1.256905,89,23.2956,33.0488,3.2989,0.2283,63.6315,1.405,48.2271,1.141,49.3681,0.8314,2.2203,0.2425,29
2024,8,25176.553,1.208139,79,23.4709,33.5433,3.5338,0.1849,62.5981,1.3373,92.2989,1.813,94.1118,0.2686,0.5753,0.0643,37
2024,9,24222.32,1.331986,69,23.6347,33.7195,3.6107,0.2777,62.6999,2.8479,639.5672,5.6438,645.211,95.2833,87.4008,0.1815,32
2024,10,23811.288,1.532875,63,24.5251,33.8589,3.7001,0.41,62.1873,2.8141,56.4992,4.8149,61.3141,1.3745,23.0699,0.0639,28
2024,11,24280.547,1.528684,65,23.7,32.9078,3.2882,0.458,65.2271,5.892,1203.0871,4.0326,1207.1197,925.0579,491.7103,0.1562,44
2024,12,26555.144,1.423271,64,24.7579,33.0918,3.4535,0.9325,67.7497,5.4784,1227.7536,3.3467,1231.1003,193.7292,1260.2644,0.0627,40
2025,1,38325.524,0.892767,72,25.3182,34.1562,3.2759,0.9252,67.9694,8.0179,115.7816,12.2668,128.0483,3.9811,3.1969,0.0014,41
2025,2,40092.876,1.110693,77,26.0079,34.3115,2.7971,2.4802,70.1737,15.5768,2018.6492,404.6818,2423.331,114.8572,184.3707,0.1534,39
2025,3,42119.744,1.280049,85,26.6489,35.1307,2.4862,2.3559,67.4001,17.6017,2670.9317,484.4777,3155.4095,270.6886,404.6395,0.2221,42
2025,4,41178.818,1.266887,89,25.8789,34.8632,2.9675,1.1142,66.7922,5.1894,1387.6575,152.046,1539.7036,25.6091,1531.6501,0.0438,34
2025,5,37552.279,1.015319,92,24.9728,33.7235,3.2268,0.4911,66.7369,1.7378,79.7705,13.0966,92.8672,0.0715,0.2945,0.2216,28
2025,6,34500.774,0.99683,92,23.3006,32.5566,3.1219,3.9929,71.9734,1.072,29.8711,3.0667,32.9378,0.0025,0.0059,0.2106,48
2025,7,23417.927,1.560815,91,22.9771,33.3973,3.1592,0.1533,67.6748,2.7442,40.0616,2.2749,42.3365,0.5646,0.5414,0.1837,42
2025,8,18017.175,2.924529,77,23.1208,33.2315,3.495,0.2828,65.6806,2.9951,341.9035,2.4182,344.3218,0.0006,0.005,0.2639,40
2025,9,18304.83,2.978348,71,23.6602,33.0497,3.7091,0.4253,63.6593,4.5616,27.7531,4.8634,32.6165,0.0189,0.2034,0.2483,29
2025,10,21230.276,2.480949,65,24.0617,33.5849,3.7614,0.4509,63.5867,5.3085,21.5527,4.9321,26.4848,0.3187,0.0131,0.2223,21
2025,11,33357.521,1.569976,65,24.268,33.3028,3.7961,0.6891,65.2439,4.2897,32.2902,3.2406,35.5307,0.0295,0.4901,0.1775,16
2025,12,34801.521,1.090885,60,24.437,33.7539,3.5388,0.2382,63.7078,1.5054,9.827,0.5699,10.3969,0.0075,0.5969,0.1823,30
